[SYNTAX] ERROR: IN LINE NUMBER:	5:	Expected One of these tokens:	id float int } 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	5 
[SYNTAX] WARNING: SKIPPING TOKEN:	if	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	6 
[SYNTAX] WARNING: RESUME PARSING FROM  TOKEN:	x	AT LINE NUMBER:	6 
[SYNTAX] ERROR: IN LINE NUMBER:	6:	Expected One of these token Type:	IDENTIFIER 
[SYNTAX] ERROR: INVALID TOKEN MATCH: OPERATOR_REL_GREATERTHAN	> 
[SYNTAX] ERROR: IN LINE NUMBER:	6:	Expected One of these tokens:	[ ; sr ( 
[SYNTAX] WARNING: SKIPPING TOKEN:	>	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	then	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	return	AT LINE NUMBER:	7 
[SYNTAX] WARNING: RESUME PARSING FROM  TOKEN:	(	AT LINE NUMBER:	7 
[SYNTAX] ERROR: IN LINE NUMBER:	7:	Expected One of these token Type:	IDENTIFIER 
[SYNTAX] ERROR: INVALID TOKEN MATCH: PUNCTUATION_ROUND_RIGHT_PARENTHESIS	) 
[SYNTAX] ERROR: IN LINE NUMBER:	7:	Expected One of these tokens:	id float int } 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	else	AT LINE NUMBER:	8 
[SYNTAX] WARNING: SKIPPING TOKEN:	return	AT LINE NUMBER:	9 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	9 
[SYNTAX] WARNING: RESUME PARSING FROM  TOKEN:	x	AT LINE NUMBER:	9 
[SYNTAX] ERROR: IN LINE NUMBER:	9:	Expected One of these token Type:	IDENTIFIER 
[SYNTAX] ERROR: INVALID TOKEN MATCH: PUNCTUATION_ROUND_RIGHT_PARENTHESIS	) 
[SYNTAX] ERROR: IN LINE NUMBER:	9:	Expected One of these tokens:	[ ; sr ( 
