[ERROR]	SYNTAX	Line # :     5	IN LINE NUMBER:	5:	Expected One of these tokens:	id float int }	
[WARNING]	SYNTAX	Line # :     5	SKIPPING TOKEN:	{	AT LINE NUMBER:	5	
[WARNING]	SYNTAX	Line # :     6	RESUME PARSING FROM  TOKEN:	numerator	AT LINE NUMBER:	6	
[ERROR]	SYNTAX	Line # :     6	IN LINE NUMBER:	6:	Expected One of these token Type:	IDENTIFIER	
[ERROR]	SYNTAX	Line # :     6	INVALID TOKEN MATCH: OPERATOR_ASSIGN_EQUAL	=	
[ERROR]	SYNTAX	Line # :     6	IN LINE NUMBER:	6:	Expected One of these tokens:	[ ; sr (	
[WARNING]	SYNTAX	Line # :     6	SKIPPING TOKEN:	=	AT LINE NUMBER:	6	
[WARNING]	SYNTAX	Line # :     6	SKIPPING TOKEN:	newNumerator	AT LINE NUMBER:	6	
[WARNING]	SYNTAX	Line # :     6	RESUME PARSING FROM  TOKEN:	;	AT LINE NUMBER:	6	
[ERROR]	SYNTAX	Line # :    14	VARIABLE NAME REDEFINED:	float100  at Line Number:	14	
[ERROR]	SYNTAX	Line # :    17	IDENTIFIER UNDECLARED:	b  at Line Number:	17	
[ERROR]	SYNTAX	Line # :    17	INVALID DATA TYPES:	a AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	17	
[ERROR]	SYNTAX	Line # :    17	INVALID DATA TYPES:	a AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	17	
[ERROR]	SYNTAX	Line # :    17	INVALID DATA TYPES:	a AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	17	
[ERROR]	SYNTAX	Line # :    26	IDENTIFIER UNDECLARED:	b  at Line Number:	26	
[ERROR]	SYNTAX	Line # :    26	IDENTIFIER UNDECLARED:	c  at Line Number:	26	
[ERROR]	SYNTAX	Line # :    26	INVALID DATA TYPES:	a AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	26	
[ERROR]	SYNTAX	Line # :    26	INVALID DATA TYPES:	a AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	26	
[ERROR]	SYNTAX	Line # :    26	INVALID DATA TYPES:	a AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	26	
[ERROR]	SYNTAX	Line # :    27	IDENTIFIER UNDECLARED:	b  at Line Number:	27	
[ERROR]	SYNTAX	Line # :    27	IDENTIFIER UNDECLARED:	c  at Line Number:	27	
[ERROR]	SYNTAX	Line # :    27	INVALID DATA TYPES:	a AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	27	
[ERROR]	SYNTAX	Line # :    27	INVALID DATA TYPES:	x AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	27	
[ERROR]	SYNTAX	Line # :    27	INVALID DATA TYPES:	x AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	27	
[ERROR]	SYNTAX	Line # :    38	VARIABLE NAME REDEFINED:	a  at Line Number:	38	
[ERROR]	SYNTAX	Line # :    39	IDENTIFIER UNDECLARED:	b  at Line Number:	39	
[ERROR]	SYNTAX	Line # :    39	IDENTIFIER UNDECLARED:	c  at Line Number:	39	
[ERROR]	SYNTAX	Line # :    39	INVALID DATA TYPES:	a AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	39	
[ERROR]	SYNTAX	Line # :    39	INVALID DATA TYPES:	a AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	39	
[ERROR]	SYNTAX	Line # :    39	INVALID DATA TYPES:	a AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	39	
[ERROR]	SYNTAX	Line # :    40	IDENTIFIER UNDECLARED:	b  at Line Number:	40	
[ERROR]	SYNTAX	Line # :    40	IDENTIFIER UNDECLARED:	c  at Line Number:	40	
[ERROR]	SYNTAX	Line # :    40	INVALID DATA TYPES:	a AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	40	
[ERROR]	SYNTAX	Line # :    40	INVALID DATA TYPES:	x AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	40	
[ERROR]	SYNTAX	Line # :    40	INVALID DATA TYPES:	x AND b SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	40	
[ERROR]	SYNTAX	Line # :    41	IDENTIFIER UNDECLARED:	z  at Line Number:	41	
[ERROR]	SYNTAX	Line # :    41	IDENTIFIER UNDECLARED:	y  at Line Number:	41	
[ERROR]	SYNTAX	Line # :    41	INVALID DATA TYPES:	x AND z SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	41	
[ERROR]	SYNTAX	Line # :    41	INVALID DATA TYPES:	a AND z SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	41	
[ERROR]	SYNTAX	Line # :    41	INVALID DATA TYPES:	a AND z SHOULD BE OF INT OR FLOAT DATA TYPE	AT LINE NUMBER:	41	
