[SYNTAX] ERROR: IN LINE NUMBER:	1:	Expected One of these tokens:	 
[SYNTAX] WARNING: SKIPPING TOKEN:	class	AT LINE NUMBER:	1 
[SYNTAX] WARNING: SKIPPING TOKEN:	A	AT LINE NUMBER:	1 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	1 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	number	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	realNumber	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	program	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	7 
[SYNTAX] WARNING: REACHED END OF FILE 
