[SYNTAX] ERROR: IN LINE NUMBER:	1:	Expected One of these tokens:	: 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	1 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	2 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	4 
[SYNTAX] WARNING: SKIPPING TOKEN:	class	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	FOO2	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	6 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	7 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	8 
[SYNTAX] WARNING: SKIPPING TOKEN:	m	AT LINE NUMBER:	8 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	8 
[SYNTAX] WARNING: SKIPPING TOKEN:	FOO1	AT LINE NUMBER:	9 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo1	AT LINE NUMBER:	9 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	9 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	10 
