[SYNTAX] ERROR: IN LINE NUMBER:	1:	Expected One of these token Type:	PUNCTUATION_CURLY_LEFT_PARENTHESIS 
[SYNTAX] ERROR: INVALID TOKEN MATCH: PUNCTUATION_SQUARE_RIGHT_PARENTHESIS	{ 
[SYNTAX] ERROR: IN LINE NUMBER:	1:	Expected One of these tokens:	float int id for if get put return } 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	1 
[SYNTAX] WARNING: RESUME PARSING FROM  TOKEN:	if	AT LINE NUMBER:	3 
[SYNTAX] ERROR: IN LINE NUMBER:	3:	Expected One of these tokens:	 = ) ] ; , eq geq gt leq lt neq + - or * / and 
[SYNTAX] WARNING: SKIPPING TOKEN:	>	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	maxValue	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	3 
[SYNTAX] WARNING: SKIPPING TOKEN:	aa	AT LINE NUMBER:	3 
[SYNTAX] WARNING: RESUME PARSING FROM  TOKEN:	]	AT LINE NUMBER:	3 
